CAGR (年化复合收益),Annual Volatility (年化波动率),Sharpe Ratio (夏普比率),Calmar Ratio (Calmar比率),Sortino Ratio (索提诺比率),Max Drawdown (最大回撤),Max Drawdown Start (最大回撤开始日),Max Drawdown End (最大回撤结束日),Annual Return 2018 (年度收益率),Annual Return 2019 (年度收益率),Annual Return 2020 (年度收益率),Annual Return 2021 (年度收益率),Annual Return 2022 (年度收益率),Annual Return 2023 (年度收益率),Annual Return 2024 (年度收益率),Annual Return 2025 (年度收益率),Rebalance Win Rate (换仓胜率),Rebalance Odds (盈亏比),simulation_id,internal_method,top_cov_estimate_ways,lookback_years
0.083290999511205,0.05073263809023005,1.208357351072975,1.407592329575083,1.6726580550551335,-0.05917267220143809,2020-02-24,2020-03-19,0.0035799430996457104,0.127143440579792,0.0766060732201983,0.06365290051974215,0.026035898351940645,0.03813516018203367,0.10140576391113121,0.11538318744557174,0.6705882352941176,1.7713248770670547,1,EW,cov,3
0.08406610021006888,0.05107679704381779,1.2145672976780022,1.4283371738619348,1.6783208183604574,-0.058855921240760785,2020-02-24,2020-03-19,0.0022357472932348355,0.1276688948098721,0.07881099096022859,0.0632642921990878,0.027085071130356964,0.03600553809478613,0.10527877075385073,0.11713514654548773,0.6470588235294118,1.970293226484767,2,EW,cov,4
0.08280545621024582,0.0494910882584412,1.2283519486791548,1.5543957602298948,1.7059996642705486,-0.053271797523430524,2020-02-24,2020-03-19,0.007832122899019467,0.12457240073699882,0.07354321376991169,0.06412827791588493,0.02423832004075699,0.03976209952178267,0.09672837683791857,0.11781501382560511,0.6470588235294118,1.9537957213427033,4,EW,ewm,3
0.08285398211767414,0.04951042266267577,1.2287970712784664,1.554161056558127,1.706494789245712,-0.05331106565053435,2020-02-24,2020-03-19,0.007590288271327017,0.12487176054469051,0.07368973316455962,0.06413851964713113,0.024253138386667983,0.03954659736201971,0.09702442542097067,0.1178727186722377,0.6470588235294118,1.9544171760788476,5,EW,ewm,4
0.08438954882630112,0.05171381510745293,1.2060090940889576,1.4084746512068278,1.6689616398769027,-0.05991556096092561,2020-02-24,2020-03-19,0.0034743324247754614,0.12769287091283332,0.07795022151568975,0.063670158263887,0.0276551072557063,0.03827685410867865,0.10190323295407366,0.11856586781950318,0.6705882352941176,1.7582046807563996,7,EW,oas,3
0.08493930683435047,0.05183059207820165,1.2131916000398573,1.4288507505861852,1.67612336134818,-0.0594458916016975,2020-02-24,2020-03-19,0.002156412868326907,0.12828631930942969,0.07974251153281653,0.06322564445387369,0.028365149350980223,0.036118130941812376,0.10561009411341415,0.11976048394392991,0.6588235294117647,1.8614007638444992,8,EW,oas,4
0.05734912530255998,0.03850649986866508,0.948213346222107,1.1701785004599574,1.2926991628742126,-0.049008869399000225,2020-02-24,2020-03-19,0.0025522485109372717,0.0995096682346781,0.054889963144845844,0.036035465459456795,0.014769054775300106,0.027700587033369972,0.06806266841007003,0.07581262125470833,0.6470588235294118,1.8080407550026445,10,HRP,cov,3
0.05858748171846795,0.03895590008652431,0.9677753825801048,1.2113706708658651,1.3209123001423981,-0.04836461962265498,2020-02-24,2020-03-19,0.0012258168950547432,0.10118613441582625,0.057498414743066384,0.03712989641150766,0.015928740618759596,0.02624742799416513,0.0699047810700193,0.07886052631842766,0.6470588235294118,1.8296208675070769,11,HRP,cov,4
0.05671141371332,0.03709055753218798,0.9666996083862812,1.3410399499477539,1.3252448873278173,-0.04228913069706047,2020-02-24,2020-03-19,0.006411169433718555,0.09723666588766866,0.05166759758453443,0.0358926342566499,0.013223197870096959,0.02963862633075043,0.06477229848558386,0.07607647522899064,0.6470588235294118,1.800215055360069,13,HRP,ewm,3
0.057293010772800246,0.037222122133970074,0.9781995505530369,1.3588390679593827,1.3450555547441696,-0.04216320543303131,2020-02-24,2020-03-19,0.006123983463522054,0.0999647770409815,0.05222961916607427,0.03603095862502581,0.013254543055363888,0.02952342675819475,0.06420490107431487,0.07770936529355721,0.6470588235294118,1.813628021083422,14,HRP,ewm,4
0.06077481539524543,0.04089457360751566,0.9742756544182382,1.1936182407692508,1.3299541219224487,-0.05091645998646762,2020-02-24,2020-03-19,0.0024903887532419233,0.1015205658084386,0.05801562726496745,0.037598082733400595,0.018967291756254,0.028820193584059517,0.07093090722588502,0.08366556107795908,0.6470588235294118,1.7939836930317736,16,HRP,oas,3
0.06125106223117194,0.040804476829783866,0.9873398230262175,1.2281447670384367,1.3487885399553443,-0.0498728357397748,2020-02-24,2020-03-19,0.0011702309841381542,0.10299777500508189,0.05975079644852577,0.03809262195240248,0.0191601581300751,0.02694601474841396,0.07226606618050413,0.08528242850078271,0.6470588235294118,1.8168802802473465,17,HRP,oas,4
