ETF代码,ETF名称,Index代码,Index名称,资产类别,是否调用回测[Y/N],全部跟踪该指数的基金,管理费率,托管费率,总费率,
159928.SZ,消费ETF,000932.SH,800消费,Stock,N,"021879.OF,159689.SZ,560680.SH,009179.OF,009180.OF,512600.SH,000248.OF,012857.OF,159928.SZ,159672.SZ",0.5000,0.1000,0.6 ,
512480.SH,半导体ETF,h30184.CSI,中证全指半导体,Stock,N,"007301.OF,007300.OF,512480.SH",0.5000,0.1000,0.6 ,
512800.SH,银行ETF,399986.SZ,中证银行,Stock,N,"512820.SH,512800.SH,161121.SZ,009860.OF,012547.OF,014028.OF,021129.OF,512700.SH,240019.OF,006697.OF,004597.OF,004598.OF,024642.OF,160418.OF,012042.OF,516310.SH,161029.SZ,014983.OF,008299.OF,016343.OF,007154.OF,161723.OF,018591.OF,025130.OF,011971.OF,011972.OF,516210.SH,160517.OF,515290.SH,515020.SH,512730.SH,160631.SZ,159253.SZ,021013.OF,007153.OF,013330.OF,001594.OF,001595.OF,008298.OF",0.5000,0.1000,0.6 ,
512660.SH,军工ETF,399967.SZ,中证军工,Stock,N,"512660.SH,000596.OF,512560.SH,021948.OF,161024.SZ,012842.OF,502003.SH,163115.SZ,013035.OF,512680.SH,512810.SH,005693.OF,003017.OF,002199.OF,016209.OF",0.5000,0.1000,0.6 ,
512010.SH,医药ETF易方达,000913.SH,300医药,Stock,N,"512010.SH,007883.OF,001344.OF",0.5000,0.1000,0.6 ,
512400.SH,有色金属ETF,000819.SH,有色金属,Stock,N,"021021.OF,004433.OF,010990.OF,004432.OF,512400.SH",0.5000,0.1000,0.6 ,
515220.SH,煤炭ETF,399998.SZ,中证煤炭,Stock,N,"016814.OF,008279.OF,161032.SZ,168204.SZ,515220.SH,022501.OF,013275.OF,008280.OF",0.5000,0.1000,0.6 ,
512200.SH,房地产ETF,931775.CSI,中证全指房地产,Stock,N,"024628.OF,008088.OF,008089.OF,512200.SH,021002.OF,004642.OF,004643.OF,010989.OF,515060.SH",0.5000,0.1000,0.6 ,
159611.SZ,电力ETF,h30199.CSI,电力指数,Stock,N,"018173.OF,018172.OF,021753.OF,561560.SH,159611.SZ,016185.OF,017482.OF,017481.OF,021752.OF,560580.SH,016186.OF,561700.SH,562350.SH",0.5000,0.1000,0.6 ,
159995.SZ,芯片ETF,980017.CNI,国证芯片(CNI),Stock,N,"008887.OF,008888.OF,022863.OF,021945.OF,159813.SZ,012629.OF,012630.OF,159665.SZ,012969.OF,012970.OF,159801.SZ,159995.SZ",0.5000,0.1000,0.6 ,
562500.SH,机器人ETF,h30590.CSI,机器人,Stock,N,"020289.OF,020290.OF,020255.OF,021895.OF,018095.OF,020256.OF,560770.SH,020482.OF,021896.OF,025552.OF,021301.OF,159551.SZ,020607.OF,020608.OF,159770.SZ,562500.SH,018094.OF,024768.OF,024769.OF,025553.OF,159258.SZ,560630.SH,018345.OF,020999.OF,020481.OF,024619.OF,024620.OF,018344.OF,014880.OF,014881.OF,562360.SH,159213.SZ,159526.SZ,021302.OF,024600.OF,024601.OF",0.5000,0.1000,0.6 ,
159819.SZ,人工智能ETF易方达,930713.CSI,CS人工智,Stock,N,"159248.SZ,008585.OF,008586.OF,009239.OF,011839.OF,011840.OF,011832.OF,011833.OF,023461.OF,023462.OF,024610.OF,159819.SZ,023384.OF,512930.SH,023385.OF,012733.OF,012734.OF,515070.SH,021580.OF,161631.SZ",0.1500,0.0500,0.2 ,
159870.SZ,化工ETF,000813.CSI,细分化工,Stock,N,"015896.OF,015897.OF,159133.SZ,014943.OF,013527.OF,013528.OF,012537.OF,012538.OF,159129.SZ,516020.SH,159870.SZ,019590.OF,014942.OF,020273.OF,020274.OF,516120.SH,516220.SH,021977.OF,021978.OF,019589.OF,022792.OF",0.5000,0.1000,0.6 ,
512070.SH,证券保险ETF易方达,h30035.CSI,300非银,Stock,N,"512070.SH,000950.OF,007882.OF",0.5000,0.1000,0.6 ,
159755.SZ,电池ETF,980032.CNI,新能电池,Stock,N,"025916.OF,025917.OF,015873.OF,015874.OF,159767.SZ,018380.OF,018379.OF,159775.SZ,159755.SZ,013179.OF,013180.OF,159757.SZ,159840.SZ",0.5000,0.1000,0.6 ,
