,CN_Growth_PMI_neworder_Change,CN_Growth_yield_spread_Change,CN_Growth_TSF_yoy_Change,CN_Growth_industrial_Change,CN_Growth_commodity_Change,CN_Growth_export_Change,CN_Growth_real_estate_Change,CN_Inflation_CPI_Change,CN_Inflation_PPI_Change,CN_Inflation_commodity_Change,CN_Inflation_PMI_price_Change,CN_Inflation_FX_Change,CN_Inflation_pig_Change,US_Inflation_BEI_Change,US_Inflation_commodity_Change,US_Inflation_official_Change,US_Inflation_FX_Change,US_Growth_ISM_Change,US_Growth_yield_curve_Change,US_Growth_copper_gold_Change,CN_RiskAppetite_AAA_spread_Change,CN_RiskAppetite_AA_spread_Change,CN_Monetary_DR007_Change,CN_Monetary_Shibor_3M_Change,CN_Monetary_R007_Change
沪深300指数,2.8250510395371164,0.7901639292606368,-0.9187857113982558,0.29657678239794366,-0.3198688464616633,0.6586533521339345,0.6855451783239576,-0.44027435306654955,-1.3400647238636447,2.862209472428855,2.394115754274489,0.8732852658481632,0.1871957656211785,2.2952352856435514,1.8325659155788114,-2.455803810262177,3.2295182872466834,0.8457714801419723,0.19986810358312437,3.3553910447745605,1.8284187317137317,0.9829878383280426,-0.06910739735244853,0.48613944205795223,-0.49090948897720327
中证小盘500指数,3.5605473581920926,0.2481231909626475,-1.5398516038618106,0.9638072504857276,-0.6757352490909685,0.8073313761918575,0.5592929657117737,0.8631158525046233,-0.5273741055307728,2.7053102541135576,2.728098898016419,1.2151948420595302,-0.09208808407863478,2.9341237685374923,1.6446851565133458,-1.502329592354848,1.790634708135333,1.2157813157689699,-0.20573898745526012,2.857928028822215,1.1578808377127368,0.40877456357771347,-0.12545593217619072,0.07052378561065624,-1.400934037166253
中证1000指数,3.842543877176039,0.3988486683180979,-1.7056133316256932,1.0162504933893397,-0.9353579721800551,0.7384730755210276,0.49209715104702706,0.9033358085525189,-0.24914946767539986,2.450047702707676,2.452340369210414,1.3979654975676326,0.10838442727636952,2.77792921541928,1.5839741127606017,-1.0863655345893384,1.4877783376098765,0.9670477272452048,-0.29359724216662114,2.3354616477180916,1.0100069294096294,0.2949955144351622,-0.05485485218558236,0.03953550833443781,-1.3494784052973479
上证科创板50成份指数,2.0309834957118,-1.3173151374398209,1.445849526949267,1.6291340489415282,0.4484172011058225,0.46616320432246905,-0.0765316430070692,1.025921081707463,-0.15030892343215552,0.0860643722214779,0.769265886107845,1.389414430719197,1.7697473668387966,1.3453640530547253,-0.49691613158436765,0.7483443643870509,1.5950507670041096,0.903266393112478,-1.391811220028797,-1.1617450740447643,1.3223071858800077,1.9141573495451984,0.9361319628660197,0.6284700789265792,0.7985830153672295
创业板指数,2.6717673849330215,0.047885887104810634,-1.7402303370422083,1.1757256995614775,-0.8200831690950012,0.3035285302527335,-0.000590005807997406,0.7241239088389483,-0.1351969929082796,1.888178759188608,2.2296890376113403,1.6190998264892147,0.7601075617237774,2.7735119096501664,1.1192085599317805,-0.8127938579801374,1.170936330338877,0.6964935633680497,-0.8735659357213752,1.9352251599491075,1.2520287814567455,0.8525391453131951,-0.2230499108773655,0.41824627746542425,-1.3078780957968676
标普中国A股大盘红利低波50指数,1.827414165959605,0.4065688261503007,-0.84055246353558,0.056545371158526196,-0.3015069707556334,1.1531204346188193,0.9080600940635818,-0.5682241662739368,-1.0967996177580124,2.265139016897941,1.3246868426259522,0.24454765541437434,-0.6728429376841844,1.6626228619410621,1.726245203577752,-2.3661387025386724,1.7158643457949052,0.9616792547967657,0.07264977540272793,2.8366664915471143,1.62977035570333,1.0859540660730682,0.3612344722282636,-0.006068417933611458,-0.7714935208371158
中证红利质量指数,3.629192196836106,0.5800296860199173,-1.1024712792489009,0.7632664355259842,-0.11507154792246091,1.0760425928165178,0.05759055429268175,0.219955709415045,-1.0877843393625446,2.94196097974455,2.4101011284591656,-0.28495463769998736,0.24366321075187183,2.8813408034928147,2.2381063609999012,-2.0118899047010568,2.7445020535460003,1.3986633860053967,-0.28531287676124356,2.9274587255398146,2.074836924091277,1.4579589405436302,0.18394267866219452,0.4897457038854082,-1.115324964193064
上证5年期国债指数,-1.4242699859722043,-1.725774626296236,-0.4855765154383108,-1.650545685055576,-1.1675018033883973,-0.903147274280048,0.8457428769857078,-1.4283904587464045,-1.045983991575063,-4.464399228945489,-4.802964116889481,0.7556926160176438,0.9682117994425784,-3.3978442912628313,-2.958414354124541,0.13395097333453124,-3.61540961263474,-2.4531229040147053,1.9242103558683197,-3.228828283811034,-1.2643769677069647,-1.5489713338820266,-4.482352888146721,-3.967036957282042,-2.0440267605798677
上证10年期国债指数(净价),-1.7336187157299483,-0.7985002450892026,-0.5966561339805265,-1.3944887796659668,-1.102693612354216,-0.9024482573159198,0.9181920316878308,-1.1230757239729323,-0.9005465117925285,-4.347651746909801,-4.3990557747315115,1.2311889393070343,0.9251115600918747,-3.3100382960335364,-2.9507496174491674,0.4658248079979463,-3.813721591566895,-1.4491561214880273,1.9528069035616609,-3.5939379498822586,-1.6406570689932995,-2.0503373279179358,-3.2916859925090565,-3.398557428510427,-1.3858100031137737
中债-30年期国债指数,-1.2969090454044747,-0.6846946086892465,-0.8829749528284004,-0.2573307435466365,-1.4882144600019644,-1.865944673654204,0.9004471236484243,-1.6032811812161238,-1.1225651608676894,-3.4281673311823293,-3.041957887059943,1.4094050776493983,1.0750714313793277,-2.5760879603127114,-2.1518741154402568,0.5112339922578991,-2.0256732872175793,-0.2459240876387485,1.789778320922191,-3.338897448451249,-2.3498819362413883,-2.648258480839292,-2.3403097233670165,-3.4647014232167197,-1.9130024965582246
中债-中高等级公司债利差因子指数,-0.6881532179902556,-0.5005533031944299,0.27849053080300734,0.00437171250325619,-1.6473995625589708,-1.5480528823991648,0.3916720618679906,-0.2506482623352984,-0.7001874106450573,-3.671921980002206,-3.1898970766498898,1.8214096999606337,0.5483905644780376,-2.930108621642865,-2.807009721085331,0.09274137743058798,-1.3393941463981203,-1.5448335915183276,1.2229294769040029,-3.0894078516958805,-3.410027507085233,-2.3279642457900076,-3.5295476924123026,-3.6560337929025004,-3.4493617744515492
上证基准做市公司债指数,-0.19948170474883606,-0.6629758223049524,-0.9537738057041314,-0.3235902802370557,-2.044994230550103,0.7551998956775651,1.1881098140691317,1.0420264005225415,0.3620527978455993,-0.5590555938503315,-0.6591416814720972,2.3223208576325742,-0.9169226230292311,0.15264790045613635,0.33442331539063946,-0.1293021248957189,-1.1657147334877525,2.0688279229772832,-0.9833956233161574,0.0734907327286056,-0.7476871112942114,-0.7482879974880372,-1.38853325643408,-1.9419460979422132,-1.1282234685563837
中证可转债及可交换债券指数,1.1004278326884886,0.8123582885887938,-0.09202977004193683,-0.909030393720696,-0.055841661546486114,-0.5897915835697,-0.8699006241721616,-1.1542506549344822,-2.079865760527044,0.8258936195197822,0.5190273500964477,2.0159234009902685,-0.8259270719714712,0.5848380722662313,0.18571778791340385,-2.0968418635014547,0.5669458688935595,-0.43419311524366566,1.825676992142067,1.5225043391547417,0.2531406209191753,0.011617252253214413,-1.697854563349084,-0.8531515725606074,-1.096395111988098
上海期货交易所有色金属期货价格指数,1.3286411750877083,0.8026633456157329,-0.3273519806284443,0.07757204226076968,1.3378129023727257,1.0252260665367794,-0.6239379044950423,1.4654804287913992,0.6474060181676013,7.783777496519398,5.137219800650395,-1.928040246206592,-0.4878540547713963,4.275403939533773,5.759005918169902,0.5820833040664899,3.702971183267152,1.2224298406700678,0.278710602535319,7.88313318497477,1.410330535407712,2.096325962346525,1.6432511996510182,1.1964136211741954,1.5066829645178514
大连商品交易所豆粕期货价格指数,0.7013881704760756,-0.5093120245048814,-1.316755278056523,0.5997516966513345,-0.7112389845149327,0.24217813423327156,0.5095473504586338,-0.03299679446577753,-0.038747859838728735,2.757800319278232,1.7662529840476728,-0.7136000105775654,-0.1255954315035057,0.787332328583179,2.6284066014995733,0.4516276635096156,2.05086610807158,1.152240637873065,0.8915851723129506,1.4947208372447724,0.9049119316882965,0.8696654325388675,0.43227278253010487,0.007363308684938346,-0.5436327756535317
易盛能化A,1.9840497144043876,1.512216880198697,-0.15772644126549304,0.5976820382115021,1.5613790834185624,0.38082241973115927,0.045971620289144546,1.9019983932887399,0.7570521061895871,9.327827293913083,4.46611909452853,-1.6819294615346705,-1.9357406139488227,3.3898988083695234,6.06934827158884,0.786011399659595,2.8696894690256483,2.383112703953543,-0.08099197160818132,4.597256373863843,-0.0913427569051693,1.1684082578515653,0.10785453764600104,1.5280170997673825,1.2180233389521904
SGE黄金999,-1.365054433182653,-0.24226637318548702,0.51368684836194,0.17911521350729245,-0.22307111876057947,-2.5689281218024744,-1.2586882861001751,0.12979801668471508,0.12209391786214543,1.081065341515457,1.1983039085259863,1.6594786472642853,1.8874424014250484,0.234148424929585,1.1445607405389322,0.8410535585223036,3.399138240634555,-1.4082142761145033,0.9651880952939581,-4.47885339797796,0.7949150007955711,1.0306428963618848,-0.5286768130907463,-0.054821985706211565,-1.1798740443576197
