,CN_Growth_Change,CN_Inflation_Change,US_Inflation_Change,US_Growth_Change,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,-0.0028751214408626272,-0.011039456002810595,-0.016232872205927094,-0.0068682300959495846,-0.0023278230364427426,0.0043259445697623015
中证小盘500指数,-0.00019617605300027187,-0.007351368572479075,-0.01733597479935918,-0.01366326058312192,-0.0026778815511619885,0.0027408502472799382
中证1000指数,-0.0018282720757062275,-0.006597695811049892,-0.018845526350334554,-0.018112903428835897,-0.0021583121555406514,0.0027356486559674317
上证科创板50成份指数,-0.002510627456636344,-0.003585282829787519,-0.0017947652997833256,-0.013513357707353459,0.0036680210152192335,-0.009303108357939252
创业板指数,-0.0012689350463053902,-0.01066975266972777,-0.022169281988620334,-0.02224064073601826,-0.004464111056798397,-0.0008581436485542238
标普中国A股大盘红利低波50指数,0.006562293900280626,-0.004412005916390299,-0.011585604701058197,0.0015599855574222206,0.00018229424180520395,0.008813232699702614
中证红利质量指数,-0.005958862981966716,-0.012047412620506088,-0.01838055897215665,-0.017211110184887995,0.0007214174748570875,0.0043873742399505415
上证5年期国债指数,-0.0013436346339087551,-4.71234455835233e-05,0.0012417490735678076,0.0005712756322755407,0.00022230820290948086,-0.0005927671132044856
上证10年期国债指数(净价),-0.0008119719531943304,-0.0003513132918120909,0.0014651148523339389,1.4445269688976312e-05,0.000519793720814773,-0.0006927520876667777
中债-30年期国债指数,-0.0015465399216790373,-0.001547298236197181,0.0012414567915527406,-0.002783864161092768,7.310150456052563e-05,-0.0015342093781787864
中债-中高等级公司债利差因子指数,-0.0007092538456804542,-0.0003136878430530337,0.0003692925033151389,-0.0004679240271140396,2.8285559243033194e-05,-0.0006491077701019141
上证基准做市公司债指数,0.00045344250280174075,1.3109183311943627e-05,6.361199549488638e-05,-0.00043131963559626886,0.00025853550408313483,-0.000141825188101565
中证可转债及可交换债券指数,-0.0018838175658973388,-0.011617129594347967,-0.012004661371741797,3.7779163466729673e-06,-0.0006886929940274921,0.0038530351442833993
上海期货交易所有色金属期货价格指数,-0.0004441589852025641,-0.0032369327283090473,-0.004682940191601417,-0.0054463292595379655,-0.0017010247176909498,0.0018225673275924271
大连商品交易所豆粕期货价格指数,0.007812980550689018,0.00023886266989154594,0.003886822790932561,-5.364566402785349e-05,-0.00022332556357540067,-0.0016240612119313186
易盛能化A,-0.0003179834630495943,-0.003275107431318237,-0.002898289668147886,-0.004648554126021847,-0.0019986846451980596,0.004105455129918161
SGE黄金999,-0.0064561101293762885,-0.00037238961010421215,-0.0014905453353008904,-0.0023928957180372615,0.0018289774055615775,0.004005065006568374
