,CN_Growth_Change,CN_Inflation_Change,US_Inflation_Change,US_Growth_Change,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,0.7083038591601171,-0.20450519703598968,-0.910202484306407,0.7753941508043374,-0.33066350178604914,0.2741973848313267
中证小盘500指数,0.3877146916431661,0.8984969623093734,-0.4086867748876171,0.5999031576223386,0.11670107333836136,0.11429108333826456
中证1000指数,0.19069071625374165,1.1942472254641636,-0.3330085100360397,0.11948443465147325,0.419634728665961,0.2250378339338315
上证科创板50成份指数,1.15445848872561,0.9035003792405808,0.4560184752398047,-0.9567479769786201,1.0494374215034896,-1.0228797844337614
创业板指数,0.19410165416419847,1.0443237041287328,-0.6291791949279927,0.24800903613011469,0.22555259473429287,-0.3455389745659687
标普中国A股大盘红利低波50指数,0.7471258415500724,-0.5363368972757975,-0.6156643871174766,1.4286366634480496,-0.17043704813025604,0.8351069397794427
中证红利质量指数,0.5507182193129482,0.37666185036222566,-0.5208589425789989,0.293916572723402,0.686658241483388,0.139027086738815
上证5年期国债指数,-1.7309175385211604,-3.2219466358006272,-2.699754941041617,-2.6058868014511876,-0.9045394553402822,-2.17700587020149
上证10年期国债指数(净价),-1.8248886824454962,-3.2020910543273917,-2.3177999914812455,-2.3767104783447084,-0.4464962301288543,-1.7748339313864774
中债-30年期国债指数,-2.5506163661323544,-3.216598482641819,-2.117734119943256,-1.441922520876172,-0.46323229951095396,-1.4881666722810776
中债-中高等级公司债利差因子指数,-1.0893613931631483,-2.4456150653647653,-2.2945421902401626,-3.0736599455330706,-0.8382537519564427,-1.4933333710894694
上证基准做市公司债指数,1.6193258529949424,-0.0841697314159421,0.00684952226193272,-0.27917249478265455,1.2990371357226278,-1.5803754072428748
中证可转债及可交换债券指数,-0.12476263504473986,-1.4236701287614566,-1.6090709836389414,1.2672771710975785,-0.3498246493340201,-0.11456463446984923
上海期货交易所有色金属期货价格指数,1.8255117830814693,1.0005219827284455,1.3359240813549378,0.5170200771575719,-0.13197637731579137,0.5006116967618294
大连商品交易所豆粕期货价格指数,-0.22748503729730715,0.5481901768302777,1.9696355080813768,1.283914973794024,0.5672149304187515,-0.28702947697399434
易盛能化A,0.7367045938904926,0.6725175947443377,1.2273890459955057,1.904633275545096,-0.2665488071512074,0.6567777226447864
SGE黄金999,-0.04147934087401527,0.4343148342456586,0.37076840606493316,-0.17169891712516483,1.2140531783808073,1.361564600225448
