,CN_Growth_Change,CN_Inflation_Change,US_Inflation_Change,US_Growth_Change,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,0.041402590245246625,0.0462300220446404,-0.01705015155690273,0.10112117663268118,-0.04131310504467591,-0.024658146466895053
中证小盘500指数,0.03352507577845137,0.09504684486084321,-0.026486290989253237,0.07093035271424634,-0.010839781688810663,0.003199918710353833
中证1000指数,0.023672154863598787,0.11963006337834114,-0.014294571507302288,0.005299324882887848,0.013486865332868811,0.03765932318619596
上证科创板50成份指数,0.041230019414664434,0.10068867202316659,0.010285253104161911,-0.05337848567731106,0.049280292774403225,-0.07070521173404423
创业板指数,-0.0018384964801789322,0.12084131665738153,-0.006341305892289301,0.05415857570393142,-0.00618975899725903,-0.007815550931384562
标普中国A股大盘红利低波50指数,0.09284582529622486,0.03155483604298705,0.014826742904381372,0.11852094240837696,0.012031572112810819,0.05269101882880536
中证红利质量指数,0.03505442270597961,0.05268496831082943,-0.025702672912648113,0.05592105263157895,0.04123043750081463,-0.020306911471357398
上证5年期国债指数,-0.11955600716450814,-0.21682109396527968,-0.1175048222650868,-0.2106038164783687,-0.05099898560042284,-0.10399046913340947
上证10年期国债指数(净价),-0.11440823918434831,-0.23283101405345824,-0.12318131716726372,-0.22481227610912097,-0.025475381433251877,-0.10590129249677738
中债-30年期国债指数,-0.13791137584487573,-0.20446080161117822,-0.10551123676972574,-0.14622736273809092,-0.011771241156948874,-0.11169143419110854
中债-中高等级公司债利差因子指数,-0.023829557492889918,-0.06099244540907863,-0.06427367064549626,-0.22551981534448776,0.014713211671821295,-0.04854825910338544
上证基准做市公司债指数,0.1757176422470541,-0.02034669512049251,-0.012477595492940682,-0.05773750987012158,-0.016817501255251267,-0.11770436883525284
中证可转债及可交换债券指数,0.05023594654174704,0.0287458666299256,-0.02612634334527418,0.06383128961146321,-0.07998084868579078,-0.11960514243126902
上海期货交易所有色金属期货价格指数,0.04195239247764125,0.04366579037897971,0.0579521503450694,0.039290937387433424,0.0013755471630532738,-0.02173292760689063
大连商品交易所豆粕期货价格指数,-0.004121949960474652,0.0053156915458426246,0.1321356188712593,0.08665941989408632,0.04872581679059049,-0.08300308216523433
易盛能化A,0.028713144116836595,0.05956358500964453,0.09891671259300083,0.1669537062551667,0.01883958879788685,0.03641672827256825
SGE黄金999,-0.06970756406723615,0.03887606778726922,0.008351129787820336,-0.018331496279966934,0.09308709886879828,0.0957125308765119
