,CN_RiskAppetite_Change,CN_Monetary_Change
沪深300指数,1.4970472630088842,0.24152455593635058
中证小盘500指数,0.9082179735707944,0.5603916421158908
中证1000指数,0.7599184384589442,0.4939903755159259
上证科创板50成份指数,1.5596943619260681,-0.7766654809017008
创业板指数,1.1859858007174682,0.5076884737969355
标普中国A股大盘红利低波50指数,1.4637688372112225,0.29835527450814825
中证红利质量指数,1.896575194822486,0.3351488781672593
上证5年期国债指数,-0.7935820718850538,4.046095721065634
上证10年期国债指数(净价),-1.4213232950509587,3.055203994460763
中债-30年期国债指数,-2.159001444652911,2.7989457344372237
中债-中高等级公司债利差因子指数,-2.327346910829344,4.338268632481113
上证基准做市公司债指数,-0.44282960207706207,1.8814994937505847
中证可转债及可交换债券指数,0.42072274395954884,1.555774901267477
上海期货交易所有色金属期货价格指数,1.5675150157585083,-1.5597402752413205
大连商品交易所豆粕期货价格指数,0.9360798081808721,0.05501987188132575
易盛能化A,0.4187610171876929,-0.8920203668347256
SGE黄金999,1.1022096222751292,0.7824377211210312
